Issue ID,Issue,Final decision,Affected sections,Requires figure redraw?,Requires table revision?,Blocks Section 6 writing?
1,Headline RMSE 0.221 pp vs 0.273 pp,Use 0.273 pp (recalibrated V_Full) as the main-text headline; relegate 0.221 pp (legacy M0 baseline) to appendix with explicit family label,S06_01;S06_02;S06_03;S06_04,No,Yes (S06_01_T01 post-COVID row must be rebuilt from fix6.2 not fix6.1),YES
2,Regime labels (COVID / pre-COVID / post-COVID),Apply new mapping: pre_covid_stable -> early stable window; covid_crisis_mar -> 2020-21 disruption window (March onward); post_covid_norm -> main recent evaluation window; full_post_2018 -> full post-2018 evaluation. Window keys in code stay file-locked,S06_01;S06_02;S06_03;S06_04;S06_05,Yes (9 paper-ready figures),No,No
3,Audit-layer figures inappropriate for main text,All 25 audit-mirror figures are appendix-only by construction; only the 9 paper-ready figures need updating,All sections,No (audit-mirror untouched),No,No
4,S06_01 main-table post-COVID row uses legacy 0.221,Rebuild row using fix6.2 reeval_metrics (V_Full recalibrated 0.2731 pp); add footnote distinguishing legacy vs recalibrated family,S06_01,Yes (S06_01_F01 caption update),Yes (S06_01_T01 row 4),YES
5,S06_02 window-specific V_Full advantage,Every claim of V_Full ranking must be qualified with on the main recent evaluation window. V_Full ranks last on full-post-2018 (1.47 pp vs V_Simplified 1.34); disclose in appendix,S06_02,No,No,YES (wording must be added)
6,E09 ladder Key Numbers wrong (L6 not V_Full; L4->L5 not -0.07),Patch E09_Report.md Key Numbers: L0=0.5527, L6=0.2211 (legacy family), L4->L5 drop = -0.2487 pp, ladder non-monotonic, L6 != V_Full. Ladder is appendix-only,S06_03,No,No,YES (E09 numbers wrong)
7,Benchmark training-window vs ABM training-window asymmetry,ABM 2004-01..2017-12; benchmarks 2001-01..2021-12. Benchmarks have longer window incl. 2020-21 disruption that ABM did not see. No leakage either way. Disclose in S06_04,S06_04,No,No (asymmetry disclosure paragraph),No
8,S06_05 robustness over-interpretation,Use conditional language: supports the tracking claim subject to weak identification of 10/14 parameters and rolling-split variability. Avoid universally robust / structurally identified,S06_05,No,No,No (wording only)
9,Source-of-advantage 94% (E07) vs 57% (E13) apparent conflict,Not actually a conflict: 94% is recalibrated V_Full family (E07); 57% is legacy M0 family (E13). Different statistics on different baselines. Main text cites only 94.2% with the family label. E13 57% band moved to appendix with explicit family disclosure,S06_02;S06_05,No,No,No (clarifying note in wording bank)
10,V_Full not best on full-post-2018,V_Full ranks last (1.4674 pp) on the full-post-2018 window; V_Simplified ranks first (1.3426 pp). Window-specific qualifier becomes mandatory. Disclose in appendix,S06_02,No,No,YES (must be in S06_02 prose)
11,49 vs 50 calendar months in OOS window,50 calendar months 2022-01..2026-02; 49 valid observations (Oct-2025 UNRATE is NaN). Disclose in every relevant caption,S06_01;S06_04,No,No (footnote in captions),No
12,Legacy 6.4 prep report still cites ABM 0.221 pp,Flag 正式撰写/6.4/Results_6_4_Benchmark_Comparison_Preparation_Report.md as LEGACY-DO-NOT-CITE in S06_04 source list. Cite fix6.4/benchmark_metrics.json only,S06_04,No,No,No (source-list discipline)
13,ABM training-window inclusive/exclusive notation,Use the inclusive convention: 2004-01..2017-12 (168 months) and [36 204) half-open index. Some legacy docs say 2004-01..2018-01 which is misleading. Standardise across S06_01/S06_04 and methods cross-reference,S06_01;S06_04,No,No,No
14,Banned-phrase scope review,Extend banned list to include: ABM solves; mechanism identification; predictive paper but structural model; truly representative; Crisis-COVID; M0 / R / revised internal labels. See Results_Final_Wording_Guide.md,All sections,No,No,No
15,Old vs new decomposition tables (E07 T02 E08 T02),Keep in appendix only. Main text never references the legacy 0.214 pp baseline,S06_02;S06_03,No,No,No
