variant,label,seed,UR_RMSE_pp,UR_MAE_pp,UR_corr,UR_bias_pp,UR_max_abs_pp,LFPR_RMSE_pp,EPOP_RMSE_pp
V_Simplified,Simplified ABM,42,0.562,0.4151,0.8177,-0.3881,1.5383,11.5181,11.3564
V_Simplified,Simplified ABM,137,0.5639,0.4116,0.8208,-0.3908,1.4387,11.4067,11.2484
V_Simplified,Simplified ABM,2024,0.562,0.4064,0.7813,-0.3909,1.5115,11.3704,11.214
V_Simplified,Simplified ABM,888,0.5556,0.4096,0.7887,-0.3972,1.4713,11.37,11.2184
V_Simplified,Simplified ABM,1234,0.5645,0.4119,0.8173,-0.392,1.5402,11.4197,11.2626
V_LaborOnly,Labor-only ABM,42,0.3293,0.2882,0.7748,0.2411,0.6859,2.8391,2.5747
V_LaborOnly,Labor-only ABM,137,0.367,0.3309,0.788,0.2531,0.6327,2.7037,2.4361
V_LaborOnly,Labor-only ABM,2024,0.4042,0.3585,0.7026,0.2787,0.822,2.5565,2.2793
V_LaborOnly,Labor-only ABM,888,0.3268,0.2818,0.7683,0.1943,0.6215,2.9186,2.6774
V_LaborOnly,Labor-only ABM,1234,0.3856,0.3482,0.8088,0.261,0.6847,2.6643,2.3902
V_Homogeneous,Homogeneous ABM,42,0.5339,0.4041,0.8085,-0.3867,1.4332,8.5276,8.4639
V_Homogeneous,Homogeneous ABM,137,0.5406,0.4002,0.8193,-0.3896,1.4605,8.5814,8.5181
V_Homogeneous,Homogeneous ABM,2024,0.5513,0.3909,0.7951,-0.3789,1.3628,8.7306,8.6568
V_Homogeneous,Homogeneous ABM,888,0.5457,0.4142,0.7999,-0.3972,1.3137,8.5946,8.5402
V_Homogeneous,Homogeneous ABM,1234,0.5528,0.4041,0.8213,-0.3895,1.4027,8.42,8.3619
V_Full,Full heterogeneous ABM,42,0.2658,0.1912,0.7692,-0.1296,0.8645,4.7409,4.6403
V_Full,Full heterogeneous ABM,137,0.2442,0.1868,0.8021,-0.153,0.6955,4.8793,4.7928
V_Full,Full heterogeneous ABM,2024,0.3079,0.2418,0.7364,-0.2155,0.8034,4.8667,4.823
V_Full,Full heterogeneous ABM,888,0.2798,0.2185,0.6986,-0.1529,0.8317,4.9293,4.8417
V_Full,Full heterogeneous ABM,1234,0.2676,0.2064,0.8115,-0.1836,0.8446,4.7477,4.6851
