Issue,Final decision,Affected files,Repair action,Status
Headline UR RMSE,Use 0.2731 pp (recalibrated V_Full) as main-text and abstract headline,"S06_01_T01; S06_02_T01; S06_02_T02; S06_03_T01; S06_03_T02; S06_04_T01; S06_05_T01; E09_Report.md; Final_Wording_Guide.md; Consistency_Resolution_Report.md",Lock 0.2731 pp everywhere; rebuild S06_01_T01 row 4; all other paper-ready tables already use 0.2731,DONE for S06_01_T01 (v02 rebuilt); other tables already consistent
0.2211 pp legacy baseline,Appendix-only legacy baseline diagnostic; never enters main text as headline,"正式撰写/fix6.1/tables/table1_regime_summary.csv (source of truth, unchanged); S06_03_T02 L6 row; E09_Report.md; 正式撰写/6.4/Results_6_4_Benchmark_Comparison_Preparation_Report.md (legacy)",Mark as appendix-only; add family-disclosure footnote to S06_03_T02; flag legacy 6.4 report DO-NOT-CITE,DONE (E09 patch + legacy 6.4 note); S06_03_T02 footnote pending next-regenerate
Abstract-level RMSE claim,"Use 0.27 pp (two-digit) in abstract; 0.273 pp in main text; always paired with main recent evaluation window 2022-01..2026-02 49 valid months",abstract; §6 lead sentences,Locked phrasing in Final_Wording_Guide.md §1 and §6 master template,DONE (wording locked)
Benchmark comparison ABM reference,Use 0.2731 pp; gap to best benchmarks (No-change ETS tie) is 0.036 pp within seed SD,"S06_04_T01; legacy 6.4 report (do-not-cite); fix6.4/benchmark_metrics.json",Cite fix6.4 outputs and S06_04_T01 only; mark legacy 6.4 report DO-NOT-CITE,DONE
Ablation reference,Use 0.2731 pp (recalibrated V_Full) as ablation reference; delta vs Full computed against 0.2731,S06_03_T01; S06_03_F01 caption,Annotate S06_03_F01 with horizontal V_Full reference line; deltas already computed against 0.2731 in S06_03_T01,FIGURE REDRAW SPEC ITEM (specs ready)
E09 Ladder Key Numbers (L6 mislabel),"L6 = 0.2211 pp belongs to legacy baseline family, NOT recalibrated V_Full",E09_Report.md Key Numbers and Use in Manuscript; S06_03_T02 reference row,Replace E09_Report.md Key Numbers with corrected values; mark L6 not directly comparable to V_Full; mark E09 as APPENDIX ONLY,DONE in E09_Report_PATCHED.md
E09 Ladder L4 to L5 drop value,Largest single drop is -0.2487 pp (not -0.07 pp),E09_Report.md Key Numbers; S06_03_F02 step annotation,Replace -0.07 pp with -0.2487 pp; recompute step annotations from E09_T01,DONE in PATCHED report; figure annotation pending
E09 Ladder insertion order,labor_fragility -> search -> income_expect -> liquidity -> housing -> consumption_rule,E09_Report.md Protocol section line 19,Replace order string in Protocol; matches active_dimensions column of E09_T01,DONE in PATCHED report
Legacy 6.4 preparation report,LEGACY DO-NOT-CITE for manuscript-facing 6.4 prose,正式撰写/6.4/Results_6_4_Benchmark_Comparison_Preparation_Report.md,Issued standalone DO-NOT-CITE note; legacy file itself untouched (preserves provenance),DONE in Legacy_6_4_DO_NOT_CITE_Note.md
Weak-ID threshold,CV >= 0.40 across top-5 candidates within at least one calibration method,"E13_Report.md; E13_T02; S06_05_T01; Final_Wording_Guide.md; Consistency_Resolution_Report.md",Confirm 0.40 across primary sources; patch Final_Wording_Guide line 118 from exceeds 0.5 to >= 0.40,CONFIRMED 0.40; Wording Guide patch executed after this CSV
Stable parameter count,4 of 14 stable at CV < 0.40; only 1 of 14 (h2m_mpc_floor) strictly stable at CV < 0.20,"E13_Report.md line 39; Consistency_Resolution_Report.md line 226",Replace stable count parenthetical from CV < 0.20 to CV < 0.40; document strict-stable count separately,DOCUMENTED in WeakID_Threshold_Check.md; E13_Report patch optional (appendix-only)
Regime labels (COVID heavy),Replace COVID-heavy labels with Early stable / 2020-2021 disruption / Main recent evaluation / Full post-2018 evaluation,"S06_01_F01; S06_01_F02; S06_02_F01; S06_02_F02; S06_03_F01; S06_03_F02; S06_04_F01; S06_04_F02; S06_05_F01",Apply global label replacement in Figure Redraw Specs §1; 8 paper-ready figures need redraw,FIGURE REDRAW SPECS ISSUED
Internal labels (M0 / Package A B D E / fix6 / audit / P1 / Sec 6.1 baseline),Banned from any manuscript-facing output,All paper-ready figures and tables; main-text prose; Final Wording Guide §3,Audit-mirror figures retain internal labels intentionally (file-locked appendix); paper-ready figures replace with descriptive labels per §1 of Figure Redraw Specs,SPECS ISSUED
Source-of-advantage framing,Within-experiment accounting partition; not causal decomposition,"S06_02_T02 footnote; S06_02_F02 caption; §6.2 prose; Wording Guide §3 banned list",Add accounting-not-causal disclaimer to S06_02_T02 and S06_02_F02 caption; lock wording in §6.2 prose template,FOOTNOTE AND CAPTION REDRAW PENDING
Ablation framing,Diagnostic not structural mechanism identification,"S06_03_T01 Interpretation column; S06_03_F01 caption; §6.3 prose",Add diagnostic disclaimer to S06_03_F01 caption; replace structural language in S06_03_T01 Interpretation column,FOOTNOTE AND CAPTION REDRAW PENDING
Benchmark claim,Competitive / modestly better; not dominant,"S06_04_T01 Interpretation column; S06_04_F01 caption; S06_04_F02 caption; §6.4 prose; legacy 6.4 report (do-not-cite)",Replace ABM better by 0.036 pp with Modestly better than ABM (gap 0.036 pp within seed SD 0.023 pp); add training-window asymmetry footnote,FOOTNOTE PENDING; figure redraw specs include caption text
Robustness claim,Supports tracking claim conditional on weak identification and rolling-split variability,"S06_05_T01 Caveat column (already conditional); S06_05_F01 caption; §6.5 prose",Caption must say conditional not universal; co-report with weak-ID disclosure,FIGURE REDRAW SPEC ITEM
Parameter values phrasing,Fitted simulation parameters / parameter bands; not structural estimates or primitives,All §6 prose mentioning parameter values; Wording Guide §3,Locked in Wording Guide §3 banned list and §2 required wording,DONE (wording locked)
COVID narrative in prose,Avoid COVID prediction paper / post-COVID model / Crisis-COVID,All §6 prose; Wording Guide §3,Locked in Wording Guide §3 banned list,DONE (wording locked)
